symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQZ5,-2,0,0.25,167156520120,167156520107,3,25603.50,25590.25,$(79.50),12/02/2025 16:39:39,12/02/2025 16:38:19,1min 19sec
MGCG6,-1,0,0.1,167156520156,167156520143,2,4240.9,4237.8,$(62.00),12/08/2025 15:13:43,12/08/2025 15:09:04,4min 38sec
MGCG6,-1,0,0.1,167156520171,167156520199,2,4219.6,4218.5,$(22.00),12/08/2025 19:23:48,12/08/2025 19:26:53,3min 5sec
MGCG6,-1,0,0.1,167156520211,167156520250,5,4221.1,4219.7,$(70.00),12/08/2025 19:29:57,12/08/2025 19:34:30,4min 33sec
MGCG6,-1,0,0.1,167156520284,167156520270,5,4218.2,4217.1,$(55.00),12/09/2025 10:53:08,12/09/2025 10:52:17,50sec
MGCG6,-1,0,0.1,167156520284,167156520346,3,4218.2,4224.8,$198.00,12/09/2025 10:53:08,12/09/2025 11:04:23,11min 15sec
MGCG6,-1,0,0.1,167156520302,167156520359,1,4218.2,4227.6,$94.00,12/09/2025 10:54:02,12/09/2025 11:05:00,10min 57sec
MGCG6,-1,0,0.1,167156520284,167156520359,2,4218.2,4227.6,$188.00,12/09/2025 10:53:08,12/09/2025 11:05:00,11min 52sec
MNQZ5,-2,0,0.25,167156520428,167156520399,1,25647.00,25628.00,$(38.00),12/09/2025 17:13:01,12/09/2025 17:08:44,4min 17sec
MNQZ5,-2,0,0.25,167156520428,167156520376,1,25647.00,25644.50,$(5.00),12/09/2025 17:13:01,12/09/2025 17:05:08,7min 52sec
MNQZ5,-2,0,0.25,167156520473,167156520452,2,25651.25,25651.00,$(1.00),12/11/2025 16:01:00,12/11/2025 15:56:26,4min 34sec
MNQZ5,-2,0,0.25,167156520520,167156520488,1,25579.75,25651.50,$143.50,12/11/2025 16:31:38,12/11/2025 16:28:45,2min 52sec
MESZ5,-2,0,0.25,167156520532,167156520556,3,6867.00,6865.75,$(18.75),12/11/2025 16:33:00,12/11/2025 16:45:37,12min 37sec
MNQZ5,-2,0,0.25,167156520587,167156520614,2,25545.50,25546.75,$5.00,12/11/2025 17:12:02,12/11/2025 17:16:07,4min 4sec
MESZ5,-2,0,0.25,167156520663,167156520669,2,6872.00,6871.50,$(5.00),12/11/2025 17:37:25,12/11/2025 17:37:29,3sec
MNQZ5,-2,0,0.25,167156520677,167156520629,2,25558.00,25611.25,$213.00,12/11/2025 17:37:38,12/11/2025 17:29:14,8min 24sec
MNQZ5,-2,0,0.25,167156520691,167156520629,1,25560.00,25611.25,$102.50,12/11/2025 17:37:41,12/11/2025 17:29:14,8min 27sec
MNQZ5,-2,0,0.25,167156520731,167156520710,2,25658.50,25683.25,$99.00,12/12/2025 01:15:11,12/12/2025 01:12:41,2min 29sec
MNQZ5,-2,0,0.25,167156520747,167156520713,1,25651.75,25683.25,$63.00,12/12/2025 01:16:18,12/12/2025 01:12:41,3min 36sec
MNQZ5,-2,0,0.25,167156520769,167156520713,1,25656.75,25683.25,$53.00,12/12/2025 01:16:27,12/12/2025 01:12:41,3min 45sec
MNQZ5,-2,0,0.25,167156520781,167156520796,1,25582.25,25583.50,$2.50,12/12/2025 11:55:42,12/12/2025 11:57:19,1min 37sec
MNQZ5,-2,0,0.25,167156520781,167156520801,3,25582.25,25583.25,$6.00,12/12/2025 11:55:42,12/12/2025 11:57:19,1min 37sec
MNQZ5,-2,0,0.25,167156520883,167156520854,1,25616.25,25610.75,$(11.00),12/12/2025 16:06:50,12/12/2025 16:06:03,46sec
MNQZ5,-2,0,0.25,167156520883,167156520828,1,25616.25,25612.00,$(8.50),12/12/2025 16:06:50,12/12/2025 16:03:52,2min 58sec
MNQZ5,-2,0,0.25,167156520894,167156520854,2,25616.50,25610.75,$(23.00),12/12/2025 16:06:50,12/12/2025 16:06:03,47sec
MNQZ5,-2,0,0.25,167156520926,167156520952,4,25162.75,25162.25,$(4.00),12/15/2025 01:16:48,12/15/2025 01:17:38,49sec
MNQZ5,-2,0,0.25,167156521009,167156521036,1,25181.25,25181.50,$0.50,12/15/2025 01:38:53,12/15/2025 01:42:58,4min 4sec
MNQZ5,-2,0,0.25,167156520998,167156521036,1,25181.25,25181.50,$0.50,12/15/2025 01:38:51,12/15/2025 01:42:58,4min 6sec
MNQZ5,-2,0,0.25,167156520987,167156521036,1,25181.25,25181.50,$0.50,12/15/2025 01:38:48,12/15/2025 01:42:58,4min 9sec
MNQZ5,-2,0,0.25,167156520964,167156521036,1,25181.25,25181.50,$0.50,12/15/2025 01:38:46,12/15/2025 01:42:58,4min 11sec
MNQZ5,-2,0,0.25,167156521068,167156521083,8,25184.75,25179.75,$(80.00),12/15/2025 01:43:31,12/15/2025 01:44:47,1min 15sec
