id,symbolId,positionSize,profitAndLoss,fees,entryPrice,exitPrice,tradeDay,createdAt,enteredAt
0,F.US.MNQ,-3,-88.5,2.22,0,,2025-05-07T05:00:00+00:00,2025-05-07T13:00:46.732799+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,-20.0,0.74,0,,2025-05-07T05:00:00+00:00,2025-05-07T13:00:46.73282+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-5,-82.5,3.7,0,,2025-05-07T05:00:00+00:00,2025-05-07T13:29:15.158442+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-3,-72.0,2.22,0,,2025-05-07T05:00:00+00:00,2025-05-07T13:34:05.814117+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,25.0,0.74,0,,2025-05-07T05:00:00+00:00,2025-05-07T13:46:25.543966+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-2,-81.0,1.48,0,,2025-05-07T05:00:00+00:00,2025-05-07T13:49:13.233463+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-3,36.0,2.22,0,,2025-05-07T05:00:00+00:00,2025-05-07T13:56:45.780391+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-3,13.5,2.22,0,,2025-05-07T05:00:00+00:00,2025-05-07T13:56:46.347606+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-3,-114.0,2.22,0,,2025-05-07T05:00:00+00:00,2025-05-07T14:05:57.783602+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-3,-58.5,2.22,0,,2025-05-08T05:00:00+00:00,2025-05-08T07:49:01.220073+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,2,-46.0,1.48,0,,2025-05-08T05:00:00+00:00,2025-05-08T08:27:53.006486+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,2,-66.0,1.48,0,,2025-05-08T05:00:00+00:00,2025-05-08T09:50:40.124488+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,75.5,0.74,0,,2025-05-08T05:00:00+00:00,2025-05-08T15:33:31.520855+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,102.0,0.74,0,,2025-05-08T05:00:00+00:00,2025-05-08T15:35:37.257728+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-4,-138.0,2.96,0,,2025-05-08T05:00:00+00:00,2025-05-08T17:47:00.296793+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-2,-79.0,1.48,0,,2025-05-08T05:00:00+00:00,2025-05-08T17:56:42.658199+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,-5.0,0.74,0,,2025-05-08T05:00:00+00:00,2025-05-08T18:12:06.375368+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,47.0,0.74,0,,2025-05-08T05:00:00+00:00,2025-05-08T18:51:21.386058+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-11.0,0.74,0,,2025-05-08T05:00:00+00:00,2025-05-08T18:53:13.834903+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-28.0,0.74,0,,2025-05-08T05:00:00+00:00,2025-05-08T18:54:02.752633+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-14.0,0.74,0,,2025-05-08T05:00:00+00:00,2025-05-08T18:54:02.752659+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-2,-38.0,1.48,0,,2025-05-08T05:00:00+00:00,2025-05-08T18:54:38.52863+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-6.5,0.74,0,,2025-05-08T05:00:00+00:00,2025-05-08T19:04:45.560718+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,-17.0,0.74,0,,2025-05-08T05:00:00+00:00,2025-05-08T19:06:03.938527+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,2,-71.0,1.48,0,,2025-05-09T05:00:00+00:00,2025-05-09T10:10:05.069662+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,3,-63.0,2.22,0,,2025-05-09T05:00:00+00:00,2025-05-09T11:07:05.639801+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,64.0,0.74,0,,2025-05-09T05:00:00+00:00,2025-05-09T14:18:19.933614+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,115.5,0.74,0,,2025-05-09T05:00:00+00:00,2025-05-09T14:20:34.483219+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,238.0,0.74,0,,2025-05-09T05:00:00+00:00,2025-05-09T14:27:27.146892+00:00,0001-01-01T00:00:00+00:00
0,F.US.MYM,-1,20.5,0.74,0,,2025-05-09T05:00:00+00:00,2025-05-09T15:35:28.153744+00:00,0001-01-01T00:00:00+00:00
0,F.US.MYM,-1,23.5,0.74,0,,2025-05-09T05:00:00+00:00,2025-05-09T15:46:24.233415+00:00,0001-01-01T00:00:00+00:00
0,F.US.MYM,-1,11.5,0.74,0,,2025-05-09T05:00:00+00:00,2025-05-09T16:03:22.705791+00:00,0001-01-01T00:00:00+00:00
0,F.US.MYM,3,-39.0,2.22,0,,2025-05-12T05:00:00+00:00,2025-05-12T10:55:39.415769+00:00,0001-01-01T00:00:00+00:00
0,F.US.MYM,1,-10.5,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T10:55:39.415794+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,3,-148.5,2.22,0,,2025-05-12T05:00:00+00:00,2025-05-12T10:58:50.252705+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,2.5,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T14:25:19.764286+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,-56.0,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T14:25:19.764308+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,3,-3.0,2.22,0,,2025-05-12T05:00:00+00:00,2025-05-12T14:25:30.126312+00:00,0001-01-01T00:00:00+00:00
0,F.US.MES,1,30.0,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T14:27:48.653188+00:00,0001-01-01T00:00:00+00:00
0,F.US.MES,1,57.5,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T14:29:03.067246+00:00,0001-01-01T00:00:00+00:00
0,F.US.MES,1,57.5,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T14:33:07.816685+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,4.0,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T14:34:24.033564+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,89.5,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T14:47:35.092724+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,2,-62.0,1.48,0,,2025-05-12T05:00:00+00:00,2025-05-12T14:53:57.105322+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,14.5,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T14:58:39.290926+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,2,-45.0,1.48,0,,2025-05-12T05:00:00+00:00,2025-05-12T15:28:11.745769+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,2.5,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T15:29:47.48265+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,-11.0,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T15:39:35.645478+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,1.0,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T18:00:51.923114+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,2,-43.0,1.48,0,,2025-05-12T05:00:00+00:00,2025-05-12T18:19:45.237624+00:00,0001-01-01T00:00:00+00:00
0,F.US.MES,-3,-3.75,2.22,0,,2025-05-12T05:00:00+00:00,2025-05-12T18:20:16.115108+00:00,0001-01-01T00:00:00+00:00
0,F.US.MES,3,-48.75,2.22,0,,2025-05-12T05:00:00+00:00,2025-05-12T18:37:37.105616+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,1.5,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T18:45:33.670271+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-2.5,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T18:45:51.459901+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-8.0,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T18:52:35.110598+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,8.0,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T19:02:20.286525+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-74.0,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T19:05:04.375341+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-45.5,0.74,0,,2025-05-12T05:00:00+00:00,2025-05-12T19:05:04.375363+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,5,25.0,3.7,0,,2025-05-12T05:00:00+00:00,2025-05-12T19:05:33.735425+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-5,-40.0,3.7,0,,2025-05-12T05:00:00+00:00,2025-05-12T19:05:59.39992+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-3,-43.5,2.22,0,,2025-05-13T05:00:00+00:00,2025-05-13T13:26:15.793238+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-3,-67.5,2.22,0,,2025-05-13T05:00:00+00:00,2025-05-13T13:30:04.855225+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-2,58.0,1.48,0,,2025-05-13T05:00:00+00:00,2025-05-13T13:33:55.437976+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-1,87.5,0.74,0,,2025-05-13T05:00:00+00:00,2025-05-13T13:35:56.006879+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,3,-145.5,2.22,0,,2025-05-13T05:00:00+00:00,2025-05-13T13:50:37.774321+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-6.5,0.74,0,,2025-05-13T05:00:00+00:00,2025-05-13T18:40:27.43452+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-99.5,0.74,0,,2025-05-13T05:00:00+00:00,2025-05-13T19:16:32.775655+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-82.5,0.74,0,,2025-05-13T05:00:00+00:00,2025-05-13T19:16:32.775686+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-17.5,0.74,0,,2025-05-13T05:00:00+00:00,2025-05-13T19:16:32.775694+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,5,12.5,3.7,0,,2025-05-13T05:00:00+00:00,2025-05-13T19:17:38.796384+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,3,15.0,2.22,0,,2025-05-13T05:00:00+00:00,2025-05-13T19:17:49.622958+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,5.5,0.74,0,,2025-05-13T05:00:00+00:00,2025-05-13T19:21:20.476844+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-7.5,0.74,0,,2025-05-13T05:00:00+00:00,2025-05-13T19:38:01.728655+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,3,-48.0,2.22,0,,2025-05-13T05:00:00+00:00,2025-05-13T19:38:01.728698+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-42.0,0.74,0,,2025-05-13T05:00:00+00:00,2025-05-13T19:38:01.728708+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,15,-7.5,11.1,0,,2025-05-13T05:00:00+00:00,2025-05-13T19:38:21.604714+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,57.5,0.74,0,,2025-05-14T05:00:00+00:00,2025-05-14T12:03:43.151651+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-32.5,0.74,0,,2025-05-14T05:00:00+00:00,2025-05-14T12:25:01.123497+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,-20.5,0.74,0,,2025-05-14T05:00:00+00:00,2025-05-14T12:25:01.12352+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,-2,-56.0,1.48,0,,2025-05-14T05:00:00+00:00,2025-05-14T13:28:01.684588+00:00,0001-01-01T00:00:00+00:00
0,F.US.MES,3,-26.25,2.22,0,,2025-05-14T05:00:00+00:00,2025-05-14T13:32:35.687161+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,46.0,0.74,0,,2025-05-14T05:00:00+00:00,2025-05-14T13:44:58.99005+00:00,0001-01-01T00:00:00+00:00
0,F.US.MNQ,1,70.0,0.74,0,,2025-05-14T05:00:00+00:00,2025-05-14T13:45:45.963771+00:00,0001-01-01T00:00:00+00:00
